SPY
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
AVGO
JPM
V
UNH
XOM
JNJ
PG
HD
MA
COST
MRK
ABBV
CVX
KO
PEP
ADBE
CRM
AMD
NFLX
TMO
LIN
WMT
